,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qinhuangdao,39.9317,119.5883,60.49,19,0,16.89,CN,1620171751
1,Jamestown,42.097,-79.2353,60.8,82,90,5.75,US,1620171298
2,Puerto Ayora,-0.7393,-90.3518,80.6,74,20,18.41,EC,1620171302
3,Hithadhoo,-0.6,73.0833,83.53,67,28,3.36,MV,1620171038
4,Camacha,33.0833,-16.3333,62.6,59,75,12.66,PT,1620171331
5,Cidreira,-30.1811,-50.2056,66.54,92,97,14.88,BR,1620171290
6,Muscat,23.6139,58.5922,80.6,69,20,18.41,OM,1620171547
7,Pindiga,9.9833,10.9333,79.95,59,66,13.38,NG,1620171752
8,East London,-33.0153,27.9116,66.34,59,4,3.42,ZA,1620171283
9,Rikitea,-23.1203,-134.9692,78.51,79,99,10.38,PF,1620171270
10,Maryville,35.7565,-83.9705,66.2,88,90,9.22,US,1620171753
11,Kapaa,22.0752,-159.319,80.6,69,40,12.66,US,1620171278
12,Mataura,-46.1927,168.8643,55.99,57,27,5.01,NZ,1620171270
13,Tegul'det,57.3064,88.1667,37.27,66,100,6.46,RU,1620171753
14,Bouca,6.5105,18.2733,70.21,96,97,3.27,CF,1620171753
15,Carnarvon,-24.8667,113.6333,60.8,100,75,8.05,AU,1620171356
16,Paita,-5.0892,-81.1144,69.98,81,33,14.92,PE,1620171754
17,Ostrovnoy,68.0531,39.5131,28.89,85,95,11.59,RU,1620171361
18,Upernavik,72.7868,-56.1549,23.52,83,9,5.5,GL,1620171368
19,Hauterive,46.0901,3.4459,57.2,58,90,12.66,FR,1620171754
20,Saskylakh,71.9167,114.0833,29.55,94,100,8.46,RU,1620171309
21,Dingle,10.9995,122.6711,84.76,70,71,14.65,PH,1620171279
22,Punta Arenas,-53.15,-70.9167,44.6,81,0,25.32,CL,1620171004
23,Buritis,-15.6178,-46.4233,68.83,57,6,3.15,BR,1620171754
24,Torbay,47.6666,-52.7314,44.6,61,75,8.05,CA,1620171288
25,Bluff,-46.6,168.3333,55.99,57,15,5.01,NZ,1620171287
26,Chicama,-7.8447,-79.1469,64.4,94,90,10.36,PE,1620171353
27,Sept-Îles,50.2001,-66.3821,51.8,40,99,6.91,CA,1620171500
28,Khatanga,71.9667,102.5,32.5,93,100,5.21,RU,1620171328
29,Coahuayana Viejo,18.7333,-103.6833,84.2,32,1,11.5,MX,1620171755
30,Busselton,-33.65,115.3333,57.99,98,100,5.46,AU,1620171272
31,Kruisfontein,-34.0033,24.7314,63.0,89,85,1.01,ZA,1620171096
32,Rocha,-34.4833,-54.3333,57.02,54,95,11.23,UY,1620171756
33,Tavatuy,57.0703,60.1336,48.2,53,0,4.47,RU,1620171756
34,Dalmatovo,56.26,62.9362,58.28,70,97,10.02,RU,1620171756
35,Severo-Kuril'sk,50.6789,156.125,35.55,94,67,10.18,RU,1620171306
36,Gaoua,10.2992,-3.2508,80.06,65,100,8.43,BF,1620171756
37,Katobu,-4.9408,122.5276,78.64,89,99,4.12,ID,1620171757
38,Ushuaia,-54.8,-68.3,42.8,87,75,36.82,AR,1620171111
39,Atuona,-9.8,-139.0333,80.08,78,17,17.56,PF,1620170987
40,Los Llanos de Aridane,28.6585,-17.9182,68.0,56,90,19.57,ES,1620171184
41,Paamiut,61.994,-49.6678,39.15,68,54,5.19,GL,1620171312
42,El Tigre,8.8875,-64.2454,75.54,84,98,3.11,VE,1620171757
43,Arrifes,37.7667,-25.7,59.0,88,20,3.44,PT,1620171757
44,Natal,-5.795,-35.2094,75.2,94,75,2.3,BR,1620171758
45,Cape Town,-33.9258,18.4232,60.01,94,75,10.36,ZA,1620171219
46,Butaritari,3.0707,172.7902,83.88,76,76,18.61,KI,1620171009
47,Ilulissat,69.2167,-51.1,39.2,56,0,3.44,GL,1620171364
48,Luk Pu,23.1742,112.2809,77.0,34,100,2.62,CN,1620171758
49,Kavieng,-2.5744,150.7967,84.38,70,57,1.16,PG,1620171305
50,Asău,46.4333,26.4,45.0,44,2,5.21,RO,1620171760
51,Castro,-24.7911,-50.0119,61.11,62,20,2.26,BR,1620171317
52,Zhigansk,66.7697,123.3711,32.74,98,99,1.19,RU,1620171760
53,Natitingou,10.3042,1.3796,78.39,57,100,5.37,BJ,1620171760
54,Oddur,4.1213,43.8894,76.96,76,59,6.6,SO,1620171760
55,São Miguel do Tapuio,-5.5036,-41.3233,77.0,70,94,2.53,BR,1620171761
56,Vaini,-21.2,-175.2,78.8,78,90,12.66,TO,1620171279
57,Jintūr,19.6167,76.7,86.45,33,10,2.64,IN,1620171761
58,Port Hardy,50.6996,-127.4199,53.6,66,40,12.66,CA,1620171352
59,Mar del Plata,-38.0023,-57.5575,54.0,71,20,4.61,AR,1620171000
60,Proletariy,58.4342,31.7046,34.83,96,100,5.28,RU,1620171761
61,Dukat,62.55,155.55,24.85,82,94,3.67,RU,1620171048
62,Mount Gambier,-37.8333,140.7667,53.6,87,75,6.91,AU,1620171295
63,Bandar-e Anzali,37.4727,49.4622,63.09,83,4,1.41,IR,1620171762
64,Hobart,-42.8794,147.3294,60.01,76,20,8.05,AU,1620171272
